,Filename,Encoded_1,Encoded_2,cluster
0,01-MFCC.csv,2.4517667,12.290236,0
1,02-MFCC.csv,15.701141,23.92217,3
2,03-MFCC.csv,15.257103,-11.255069,4
3,04-MFCC.csv,7.188927,-7.869111,1
4,05-MFCC.csv,-8.70484,8.96705,2
5,06-MFCC.csv,5.334535,-7.558859,1
6,07-MFCC.csv,-2.4478817,-0.030117037,5
7,08-MFCC.csv,-8.973163,-11.452622,5
8,09-MFCC.csv,-6.9995046,16.902203,2
9,10-MFCC.csv,2.9247904,-7.0762916,1
10,100-MFCC.csv,-11.149085,16.62083,2
11,101-MFCC.csv,-2.432537,-0.056239247,5
12,102-MFCC.csv,2.4585638,-14.706201,1
13,103-MFCC.csv,17.223845,-12.272515,4
14,104-MFCC.csv,-5.4330697,-12.740806,5
15,105-MFCC.csv,1.7573373,-12.622735,1
16,106-MFCC.csv,-2.627584,0.29222628,5
17,107-MFCC.csv,3.244511,12.705888,0
18,108-MFCC.csv,2.9584894,17.36199,0
19,109-MFCC.csv,7.747482,-11.320321,1
20,11-MFCC.csv,5.9082365,-9.903253,1
21,110-MFCC.csv,18.283829,-1.3211577,4
22,111-MFCC.csv,-11.27605,9.584707,2
23,112-MFCC.csv,-2.848132,-14.684463,5
24,113-MFCC.csv,8.037056,-11.7568865,1
25,114-MFCC.csv,11.597654,9.999883,0
26,115-MFCC.csv,16.671478,3.7896461,4
27,116-MFCC.csv,18.22165,24.16739,3
28,12-MFCC.csv,12.436466,-13.875371,1
29,13-MFCC.csv,5.4498153,-12.996213,1
30,14-MFCC.csv,-3.6460397,-6.0773067,5
31,15-MFCC.csv,1.1755373,-1.2417237,1
32,16-MFCC.csv,35.15249,35.750835,3
33,17-MFCC.csv,26.08189,30.733486,3
34,18-MFCC.csv,-15.874376,5.1490493,2
35,19-MFCC.csv,4.2436895,-6.652174,1
36,20-MFCC.csv,-15.765419,-18.546377,5
37,21-MFCC.csv,-2.4959083,-3.9207628,5
38,22-MFCC.csv,-2.866247,-6.345644,5
39,23-MFCC.csv,22.6618,2.8716462,4
40,24-MFCC.csv,17.35329,-8.788686,4
41,25-MFCC.csv,3.4979823,-6.144356,1
42,26-MFCC.csv,-16.193855,7.8613324,2
43,27-MFCC.csv,-0.41475338,22.752413,0
44,28-MFCC.csv,-8.7883835,5.6713567,2
45,29-MFCC.csv,-6.7060943,16.417187,2
46,30-MFCC.csv,-4.989207,-4.493164,5
47,31-MFCC.csv,27.630806,22.083273,3
48,32-MFCC.csv,26.664806,-7.242836,4
49,33-MFCC.csv,5.559679,-13.439885,1
50,34-MFCC.csv,7.464234,-5.246707,1
51,35-MFCC.csv,2.227869,9.653759,0
52,36-MFCC.csv,8.804022,-1.5984721,1
53,37-MFCC.csv,-4.32864,-5.8590374,5
54,38-MFCC.csv,2.0285423,-12.705711,1
55,39-MFCC.csv,4.7577395,-13.517016,1
56,40-MFCC.csv,31.475533,-3.0634985,4
57,41-MFCC.csv,7.5969033,-15.7518835,1
58,42-MFCC.csv,3.346436,-8.221161,1
59,43-MFCC.csv,-2.850316,-13.212031,5
60,44-MFCC.csv,19.666233,-14.993056,4
61,45-MFCC.csv,7.660681,13.352997,0
62,46-MFCC.csv,-5.883936,7.6006193,2
63,47-MFCC.csv,-4.594401,-14.651481,5
64,48-MFCC.csv,3.7216663,-5.9171553,1
65,49-MFCC.csv,6.685493,-9.850344,1
66,50-MFCC.csv,-5.6376395,10.962715,2
67,51-MFCC.csv,-12.082756,15.117016,2
68,52-MFCC.csv,5.846164,-9.094241,1
69,53-MFCC.csv,-10.407754,-11.712643,5
70,54-MFCC.csv,-2.3575566,-5.9351845,5
71,55-MFCC.csv,-4.679574,-6.4066668,5
72,56-MFCC.csv,6.274076,-12.580916,1
73,57-MFCC.csv,2.6027007,-1.7835128,1
74,58-MFCC.csv,-1.6894758,-2.1038752,5
75,59-MFCC.csv,-7.0384965,13.675711,2
76,60-MFCC.csv,-6.0573144,-1.4638593,5
77,61-MFCC.csv,2.1706645,9.5225,0
78,62-MFCC.csv,7.6319785,-12.293045,1
79,63-MFCC.csv,-17.60475,10.374581,2
80,64-MFCC.csv,-2.464763,-7.888204,5
81,65-MFCC.csv,2.0585597,1.3152237,1
82,66-MFCC.csv,-5.2314487,10.689989,2
83,67-MFCC.csv,12.733976,23.992365,3
84,68-MFCC.csv,-2.2234426,-4.4597974,5
85,69-MFCC.csv,-8.869217,-9.766233,5
86,70-MFCC.csv,5.769387,-8.354655,1
87,71-MFCC.csv,-3.4172626,0.5659714,5
88,72-MFCC.csv,3.3869777,-8.79068,1
89,73-MFCC.csv,6.56864,-11.8831415,1
90,74-MFCC.csv,14.740665,-8.822637,4
91,75-MFCC.csv,5.818498,18.470901,0
92,76-MFCC.csv,-4.443947,-15.048118,5
93,77-MFCC.csv,5.640663,-13.119756,1
94,78-MFCC.csv,-15.447165,-15.059414,5
95,79-MFCC.csv,19.965574,-4.690139,4
96,80-MFCC.csv,-4.193072,9.057597,2
97,81-MFCC.csv,13.093965,21.4258,3
98,82-MFCC.csv,-3.6670904,6.272784,2
99,83-MFCC.csv,-5.6972933,8.804601,2
100,84-MFCC.csv,-11.390381,13.862936,2
101,85-MFCC.csv,-0.8326637,-13.788749,1
102,86-MFCC.csv,-11.52474,-11.308932,5
103,87-MFCC.csv,5.0444937,15.9961,0
104,88-MFCC.csv,-5.9180293,-8.224518,5
105,89-MFCC.csv,-6.419078,-16.699366,5
106,90-MFCC.csv,10.884323,21.933928,3
107,91-MFCC.csv,3.6630898,-10.188177,1
108,92-MFCC.csv,-1.212964,3.7560093,0
109,93-MFCC.csv,-10.161556,11.5079975,2
110,94-MFCC.csv,0.5992039,-2.062081,1
111,95-MFCC.csv,3.532568,12.76304,0
112,96-MFCC.csv,-9.556082,13.8721895,2
113,97-MFCC.csv,-13.163996,10.233136,2
114,98-MFCC.csv,-19.433514,-6.563905,5
115,99-MFCC.csv,8.485254,-18.405493,1
