Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20
01-MFCC.csv,3.252125,3.5253835,6.3210354,4.823156,4.902639,3.9423978,6.737198,4.2165422,5.221118,5.0697813,6.3286414,3.7825086,5.641916,5.077015,5.6186213,5.6749086,5.191404,7.2661233,6.149512,6.3435507
02-MFCC.csv,3.318416,3.2483144,6.0939407,4.849121,4.8648334,3.99154,6.8965445,4.2629356,5.19644,4.871157,6.149656,3.4471006,5.4584975,4.943121,5.668054,5.9822407,5.155073,7.1460056,5.972911,6.473593
03-MFCC.csv,3.1723022,5.7554994,5.4211736,5.9421997,6.110464,4.4943075,5.8121037,4.222244,7.0458446,5.1540675,4.848759,5.448938,5.4324474,5.091903,5.818955,6.1793804,6.1385746,5.298771,5.8512716,5.0749664
04-MFCC.csv,2.8734555,5.2151294,5.2621813,5.512365,5.9470563,4.3266816,6.3941956,4.6873646,6.7128077,4.4120398,4.5874004,5.067227,5.8241606,4.9048796,6.2941184,5.9370666,6.152158,5.409082,5.815701,5.349795
05-MFCC.csv,2.896214,3.780741,6.3689237,4.993549,5.067832,3.7290506,6.651833,4.2683525,5.5987797,5.091443,6.089774,4.062322,5.8517914,5.4014916,5.7403483,5.9120765,5.392036,6.944094,6.0660357,6.1693287
06-MFCC.csv,2.7730157,5.537401,4.928398,5.2933207,6.533933,4.550224,6.543777,4.651179,6.97647,4.3123164,3.9032784,5.191894,6.041188,4.805979,6.2552223,6.04975,6.73565,4.8871274,5.738782,4.7116776
07-MFCC.csv,2.95583,4.400145,5.661524,5.0565834,5.3618865,4.030855,6.722526,4.4755335,6.026494,4.711877,5.344632,4.3633914,5.9221745,5.1154494,5.9923325,5.7932115,5.6414213,6.261894,5.816248,5.6883764
08-MFCC.csv,3.053661,5.477252,5.4232264,5.8042836,5.915315,4.3679004,5.994461,4.33812,6.8280735,4.9552493,4.9349375,5.2220173,5.541029,5.1017017,5.9547377,6.0519457,6.103691,5.5397296,5.866095,5.357391
09-MFCC.csv,2.8852072,3.4923995,6.442182,4.9334183,4.7211165,3.591235,6.8032985,4.274798,5.3754697,5.2720885,6.311792,3.927386,6.0067763,5.4994173,5.7558618,5.903206,5.1451774,7.1219606,6.0183163,6.2820077
10-MFCC.csv,2.7669623,5.6815553,5.0600777,5.232475,6.210085,4.5425386,6.430219,4.81266,6.884854,4.0211983,4.103859,5.048015,6.280626,4.7909136,6.512229,6.0134826,6.4935346,4.8085127,5.8219967,4.9184685
100-MFCC.csv,2.8572764,3.3483465,6.5150814,4.9099293,4.6210814,3.4994855,6.810917,4.2426033,5.3209634,5.290404,6.362613,3.8589644,6.0425043,5.5917745,5.7374473,5.9355373,5.0804315,7.191975,6.0169396,6.3463163
101-MFCC.csv,2.9408174,4.3522763,5.761126,5.0066175,5.400257,4.038645,6.69064,4.3958597,5.988542,4.7525496,5.441618,4.334069,5.9515076,5.120443,5.881314,5.801679,5.6564465,6.3608294,5.860708,5.7116795
102-MFCC.csv,2.7840858,5.548254,4.8850994,5.1842012,6.10401,4.524655,6.601637,4.762309,6.8427663,3.9926174,3.9143195,5.0308304,6.2788353,4.814665,6.679547,6.1401944,6.510203,4.602374,5.5280614,4.554362
103-MFCC.csv,3.202928,5.749671,5.4428644,5.972032,6.089744,4.5017867,5.7862263,4.2114787,7.054641,5.191767,4.8712516,5.4677997,5.3886046,5.1247444,5.819426,6.1935506,6.1245465,5.306331,5.8423815,5.0927577
104-MFCC.csv,2.932996,4.973464,5.4575996,5.6758804,5.813915,4.2145348,6.3726087,4.7344127,6.687862,4.486998,4.8805313,5.0447626,5.6093535,5.031966,6.175214,5.813666,6.0238104,5.718295,5.7803206,5.76105
105-MFCC.csv,2.7378116,5.496958,4.891694,5.10861,6.032135,4.553211,6.59471,4.832289,6.7905655,3.8708212,3.9040313,5.025266,6.394667,4.7370973,6.7918544,6.1544676,6.477601,4.5383615,5.5308514,4.547184
106-MFCC.csv,2.908062,4.5567255,5.588619,5.238853,5.3866854,4.012331,6.5783944,4.470387,6.1000977,4.6304708,5.3097124,4.455642,5.972372,5.099213,6.092726,5.876899,5.7713127,6.138563,5.817342,5.7022967
107-MFCC.csv,3.4557624,3.1625907,6.3219824,4.6606665,4.898819,4.04288,6.863561,4.1171484,5.127986,4.7364855,6.287592,3.3553777,5.427751,5.0060496,5.593916,5.8441186,5.1114354,7.2355733,6.055761,6.34332
108-MFCC.csv,3.2482657,3.3374527,6.412821,4.751705,4.814783,3.87677,6.815277,4.1833496,5.1833606,5.060967,6.376727,3.636055,5.616007,5.1569047,5.623109,5.7734976,5.1123157,7.306078,6.115592,6.386288
109-MFCC.csv,2.852523,5.677697,4.8456054,5.3614855,6.310689,4.4870486,6.4057536,4.402959,6.9588013,4.568823,4.2637825,5.0813355,6.029806,4.9375596,6.154394,6.0953197,6.5187225,4.988199,5.6989946,4.530436
11-MFCC.csv,2.8313951,5.773253,4.975012,5.4696417,6.0892596,4.3939476,6.3318686,4.5199313,6.971981,4.4268312,4.4643598,5.0586805,6.057245,4.9784465,6.325093,5.9925256,6.265201,5.0110335,5.7608705,4.7754908
110-MFCC.csv,2.875203,4.786182,5.526449,5.2217336,5.426781,4.018203,6.464234,4.3219795,6.0994906,4.5473495,5.2937336,4.5345964,6.1618443,5.080969,6.1258154,5.9561076,5.8698525,6.0226173,5.8010945,5.443642
111-MFCC.csv,2.7902138,3.6165786,6.6399193,4.96292,4.9362197,3.5673692,6.638815,4.200839,5.4852176,5.3469253,6.3855495,4.0118246,6.0231566,5.644596,5.806959,5.9073014,5.3237453,7.0873184,6.105295,6.1935086
112-MFCC.csv,2.768406,5.8690553,4.980745,5.243622,6.2105455,4.611819,6.4561954,4.8787603,7.0074754,3.9513137,3.9978888,5.0482545,6.287624,4.8106394,6.643051,5.9981837,6.4813643,4.5956454,5.8402863,4.8373947
113-MFCC.csv,2.7659183,5.735925,5.012525,5.3864093,6.591469,4.5387554,6.412448,4.6669984,7.076108,4.326233,4.0096087,5.2892513,6.0597715,4.8091636,6.2307057,6.026283,6.672118,4.9142866,5.872398,4.83743
114-MFCC.csv,3.0465565,5.231088,5.467356,5.8016834,5.777266,4.2777114,6.0938306,4.4430456,6.7180505,4.8291593,5.0318966,5.1449637,5.5101943,5.0955725,6.03304,5.97436,6.001498,5.716341,5.8372345,5.615071
115-MFCC.csv,2.8961809,4.58813,5.438723,5.1083446,5.3429885,4.0288596,6.7003736,4.485073,6.1038456,4.583493,5.1894727,4.4085207,6.0950127,5.086192,6.187026,5.8761535,5.718511,5.98235,5.706927,5.4404006
116-MFCC.csv,3.0185318,3.8124638,5.9957967,5.072225,5.0543656,3.903638,6.7462573,4.399032,5.5655646,5.047461,5.906438,3.981678,5.732666,5.082704,5.7999973,5.9218464,5.368991,6.7931533,5.965191,6.2529416
12-MFCC.csv,2.9050229,5.9323115,5.0296726,5.4978256,6.310969,4.5259285,6.1774426,4.395011,7.0578313,4.589194,4.3526587,5.244534,6.050699,4.951991,6.1895266,6.185161,6.4268737,4.881001,5.801112,4.608145
13-MFCC.csv,2.7888896,5.816385,4.9657845,5.2455883,6.308836,4.6250286,6.490626,4.765306,6.977914,4.005302,3.7482388,5.2372546,6.2795534,4.7757225,6.6954575,6.2544103,6.58191,4.433782,5.6673985,4.576296
14-MFCC.csv,2.9387202,5.187883,5.463958,5.445218,5.8637557,4.295454,6.393907,4.5824685,6.684917,4.532371,4.770017,4.737693,5.8674364,5.1901784,6.083382,5.8495455,6.2863474,5.661363,5.8912463,5.6625576
15-MFCC.csv,2.9164815,4.6244116,5.474267,5.2496214,5.3951564,4.048297,6.617141,4.5391197,6.180938,4.587439,5.1771464,4.4854445,5.960657,5.0832896,6.1769233,5.856126,5.788348,6.0108833,5.7748713,5.637927
16-MFCC.csv,3.2894256,3.3943546,6.1230736,4.8859596,4.8055706,4.000527,6.928886,4.3597627,5.2874904,4.8616476,6.167957,3.5927432,5.549667,4.954655,5.690534,5.9236293,5.1511745,7.076686,5.9944053,6.37615
17-MFCC.csv,3.2766607,3.3781374,5.938738,4.9762254,4.897847,4.0338,6.88677,4.361264,5.2489142,4.949918,6.0456014,3.5582094,5.503907,4.8486366,5.7020607,6.0072017,5.1707067,6.98718,5.931158,6.455197
18-MFCC.csv,2.898785,4.087966,5.988665,5.110124,5.090516,3.834591,6.6952176,4.392237,5.793858,4.989587,5.7568164,4.2576747,5.9935007,5.3060427,5.9071417,5.851936,5.4772406,6.63496,5.93452,6.0239744
19-MFCC.csv,2.8142476,5.4174156,5.102266,5.3811326,6.0843725,4.4242954,6.4708333,4.7455554,6.8163686,4.2305036,4.2881427,5.0721235,6.018346,4.8597617,6.4374504,5.985141,6.3220325,5.0684247,5.7655745,5.0571833
20-MFCC.csv,3.1265585,5.612167,5.4306436,5.894245,5.962793,4.425296,5.867864,4.24291,6.8878627,5.1121573,4.950177,5.363913,5.437242,5.0987644,5.903086,6.152791,6.055808,5.4476485,5.857576,5.230726
21-MFCC.csv,2.930746,4.8605094,5.5313277,5.375784,5.6526957,4.1596203,6.4429417,4.517766,6.366543,4.6359334,5.0557117,4.6849904,5.8249297,5.048307,6.021971,5.859063,6.020977,5.974209,5.90045,5.7441235
22-MFCC.csv,2.8969405,4.9074216,5.404955,5.4622116,5.7842607,4.208091,6.5289264,4.720513,6.606893,4.472478,4.828716,4.851485,5.7756376,5.054861,6.186173,5.800181,6.03382,5.696837,5.763358,5.601757
23-MFCC.csv,2.8421495,4.9876595,5.270938,5.1468444,5.5066237,4.115525,6.554462,4.4027023,6.249017,4.4303555,4.942722,4.578366,6.2916136,5.012005,6.305205,6.032453,5.948964,5.6074867,5.657495,5.0755534
24-MFCC.csv,2.7724726,5.786183,5.214583,5.4743767,6.5443144,4.461605,6.187781,4.506877,6.967198,4.4837193,4.1796966,5.5191197,6.096243,4.745639,6.1479783,6.2068105,6.508326,4.9854665,5.9049196,4.8008685
25-MFCC.csv,2.8683007,5.258712,5.0855703,5.3092303,5.864571,4.2876835,6.48949,4.4701495,6.6329074,4.520345,4.6652427,4.8528957,6.0443606,4.988051,6.231567,5.9953485,6.129666,5.3546705,5.67441,4.9046593
26-MFCC.csv,2.9823623,3.5883238,6.5639954,4.8756995,4.988553,3.712027,6.631597,4.1683545,5.4065394,5.213395,6.3660426,3.9143364,5.7892613,5.437124,5.717817,5.823439,5.3349886,7.1891713,6.1575294,6.249752
27-MFCC.csv,3.1610453,3.2999008,6.4338436,4.774522,4.7287006,3.7780502,6.850879,4.200317,5.1871953,5.128533,6.389581,3.6580527,5.7285614,5.262028,5.6591287,5.8278728,5.076455,7.2893124,6.070737,6.376785
28-MFCC.csv,2.9094543,4.3505836,5.7546535,5.267107,5.220602,3.9145894,6.5690765,4.433421,5.945877,4.789216,5.547574,4.3482027,5.934158,5.1733384,6.045045,5.9283123,5.6390023,6.3411684,5.8787804,5.8912926
29-MFCC.csv,2.8381119,3.5275824,6.5161676,4.9393835,4.7688403,3.58469,6.770261,4.2836733,5.417211,5.367352,6.3402314,3.9455967,6.059564,5.5436425,5.826339,5.8736005,5.184514,7.059917,6.0245647,6.2522855
30-MFCC.csv,2.9080532,5.196665,5.2346673,5.3722816,5.752717,4.2371874,6.390131,4.385236,6.5279016,4.639357,4.8825965,4.841955,5.977265,5.021536,6.137256,6.0038214,6.0367465,5.553714,5.7306848,5.0830913
31-MFCC.csv,3.4390182,3.5913875,6.107862,4.8019896,5.072405,4.1553264,6.712108,4.1626854,5.2764373,4.8850555,6.1075077,3.69214,5.363608,4.8601985,5.6173887,5.68923,5.2613306,7.169259,6.1293964,6.391266
32-MFCC.csv,2.7513733,5.825006,5.1432476,5.36539,6.462299,4.506424,6.266342,4.5860434,6.9483457,4.272493,4.039268,5.452586,6.2534857,4.717688,6.3504267,6.2622724,6.52223,4.755302,5.8118906,4.671454
33-MFCC.csv,2.7616475,5.686346,5.010125,5.1794786,6.259755,4.611944,6.5686054,4.854308,6.899233,3.9074857,3.695066,5.232346,6.2831335,4.7165914,6.7211723,6.234524,6.6190796,4.4550996,5.6162567,4.6521235
34-MFCC.csv,3.0215218,5.136212,5.547662,5.813781,5.8276963,4.2562227,6.1325884,4.534124,6.7462716,4.7621875,5.025067,5.1230483,5.481785,5.1173644,5.985665,5.879002,6.076722,5.8136525,5.877881,5.7886868
35-MFCC.csv,3.4213412,3.4009926,6.193152,4.729392,5.1063704,4.1012344,6.700907,4.072606,5.198215,4.841127,6.1536937,3.520248,5.3667727,4.9295497,5.5953383,5.740272,5.2535734,7.200008,6.1089997,6.382656
36-MFCC.csv,2.8349392,4.90734,5.498552,5.2965293,5.623024,4.0676227,6.45294,4.436158,6.282752,4.459134,5.100057,4.688067,6.11635,5.0362177,6.083638,5.891121,6.0522633,5.90346,5.778006,5.5035486
37-MFCC.csv,2.881687,5.0531297,5.5788584,5.616586,5.9040084,4.183528,6.309697,4.612501,6.663985,4.55694,4.9562707,5.0339527,5.7282314,5.035514,5.9087954,5.7745423,6.2067375,5.8697605,5.8337536,5.8558965
38-MFCC.csv,2.780492,5.4339037,4.922349,5.1226673,5.9654956,4.505191,6.6030397,4.7692485,6.7292123,3.9281046,3.9726908,4.98267,6.356324,4.7852287,6.7411437,6.1907606,6.441992,4.6060395,5.479151,4.568187
39-MFCC.csv,2.8154635,5.849472,4.8620405,5.3452334,6.275614,4.5815053,6.519693,4.749585,7.0491424,4.127621,3.918112,5.0832133,6.1349955,4.8987737,6.644155,6.051251,6.491623,4.6177235,5.732355,4.6599755
40-MFCC.csv,2.824586,5.131368,5.2124257,5.1509137,5.596318,4.164533,6.518971,4.4034104,6.3246975,4.3809695,4.8183885,4.652664,6.3390574,4.979035,6.351969,6.0807157,6.022096,5.4543386,5.659276,4.948806
